title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Iron Chef	Japanese	1993	Cooking show	Fuji Television	Keiichi Tanaka	Kenichi Koga, Toshihiko Matsuo	295		is a Japanese television cooking show produced by Fuji Television. The series, which premiered on October 10, 1993, is a stylized cook-off featuring guest chefs challenging one of the show's resident "Iron Chefs" in a timed cooking battle built around a specific theme ingredient. The series ended on September 24, 1999, although four occasional specials were produced from January 5, 2000, to January 2, 2002. The series aired 309 episodes. Repeats are regularly aired on the Food Network in Canada,...		
Ultraman	Japanese	1966	Kaiju, Science fiction, Superhero, The Hollywood Reporter, The Japan Times, Tokusatsu	Japan News Network	Susumu Kurobe, Akiji Kobayashi, Hiroko Sakurai, Sandayū Dokumamushi, Masanari Nihei, Bin Furuya		39	Susumu Kurobe, Akiji Kobayashi, Sandayū Dokumamushi, Masanari Nihei, Hiroko Sakurai, Akihiko Hirata, Akihide Tsuzawa	is a Japanese tokusatsu science fiction television series created by Eiji Tsuburaya. Produced by Tsuburaya Productions, it is a follow-up to Ultra Q, though not technically a sequel or spin-off. Tsuburaya Productions produced 39 episodes (40, counting the pre-premiere special) that aired on Tokyo Broadcasting System (TBS) and its affiliate stations from July 17, 1966, to April 9, 1967. Its premiere topped the average rating set by Ultra Q and kept climbing each week, marking the show as a succes...		
Braceface	Chinese	2001	Teen drama, Television comedy		Charles E Bastien	Tom Mcgillis	78		Braceface is a coming-of-age teen drama animated television series co-produced by Nelvana Limited and Jade Animation (Shenzhen) Company that aired on Teletoon (now known as "Cartoon Network" in Canada). The show features U.S. actress Alicia Silverstone from the teen comedy film Clueless (who also voiced the title character for the first two seasons) serving as executive producer. The episodes focus on the misadventures of Sharon Spitz, a high school student who often struggles with an unusual ab...	Sarah Wenk from Common Sense Media rated the series three out of five stars, stating &quot;ultimately it's rather lightweight and, well, cartoony. There's nothing wrong with that, but it could use a bit more substance and less silliness.&quot;&lt;ref&gt;&lt;/ref&gt; Nancy Wellons from Orlando Sentinel stated &quot;What could be a wonderful premise about the struggle of adolescents to confirm and yet remain individuals instead turns into a half-hour full of inane jokes, cliched characters and bad...	
Monkey	Japanese	1978	Action genre, Adventure genre, Comedy genre, Fantasy genre, Shenmo		Toshi Aoki, Jun Fukuda, Kazuo Ikehiro, Yusuke Watanabe, Daisuke Yamazaki, Yoshiyuki Kuroda	Teisho Arikawa, Tsuneo Hayakawa, Yoji Katori, Ken Kumagaya, Kazuo Morikawa, Tadahiro Nagatomi, Muneo Yamada	52		, (titled Monkey in English, but often referred to as Monkey Magic due to the lyrics of its title music), is a Japanese television drama based on the 16th-century Chinese novel Journey to the West by Wu Cheng'en. Filmed in Northwest China and Inner Mongolia, the show was produced by Nippon Television and and was broadcast from 1978 to 1980 on NTV and its affiliates.		
Mentai Waido	Japanese								Mentai Waido 0 332428 1301998634 1288976518 2025-07-22T21:13:44Z Numberguy6Bot 47732363 Sort Template:Expand language by topic 1301998634 wikitext text/x-wiki Mentai Waido is the name of a long-running local-interest television programme shown on FBS (Fukuoka Broadcasting Corporation) in Fukuoka, Japan. The show is broadcast weekdays, from about 3pm until about 7pm, and consists of interviews with local people, introductions of local restaurants and attractions, and topical news segments. The pr...		
Kamen Rider	Japanese	1971	Horror fiction, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network, TV Asahi	Koichi Takemoto		98		is a Japanese tokusatsu superhero television series and weekly science fiction manga created by manga artist Shotaro Ishinomori. The original airing consisted of a total of 98 episodes and were broadcast from April 3, 1971, to February 10, 1973, on Mainichi Broadcasting System and NET (now TV Asahi). The manga adaptation was also featured in Shōnen Magazine around the same period. The series has evolved into a franchise with many subsequent annual iterations. The series spawned a second boom in ...		
Crystal Boys	Taiwanese		Fiction						Crystal Boys (孽子, pinyin: Nièzǐ, "sons of sin") is a novel written by author Pai Hsien-yung and first published in 1983 in Taiwan.		
Takeshi's Castle	Japanese	1986		Japan News Network		Kunihiko Katsura Eiichi Misumi	133		is a Japanese game show that aired between 1986 and 1990 on the Tokyo Broadcasting System (TBS). It features the Japanese comedian Takeshi Kitano (also known as Beat Takeshi) as a count who sets up difficult physical challenges that players (or a volunteer army) must overcome in order to reach him in his castle. The show became a cult television hit around the world. It was highly influential on global popular culture, inspiring a genre of game shows involving physical challenges and painful ent...		
Ōoku	Japanese	1968							is a Japanese drama produced by FujiTV. The story is set in the Edo period and is fiction set against a background of historical fact. The Ōoku was the part the ladies lived in Edo Castle. The popularity of the show has produced six series (1968, 1983, 2003, 2004, 2005 and 2024) as well as a 2006 film, Oh! Oku.		
Beautiful Life	Japanese	2000	Drama, romance film	Tokyo Broadcasting System	Nobuhiro Doi	Executiveproducer	11	Takuya Kimura, Takako Tokiwa, Miki Mizuno, Hiroyuki Ikeuchi, Atsuro Watabe, Takanori Nishikawa, Koji Matoba, Koyuki, Chiaki Hara	is a Japanese television drama series starring Takuya Kimura and Takako Tokiwa. It aired on TBS Television from 16 January to 26 March 2000. Beautiful Life was a massive success, achieving a TV rating of 41.3% -- a record it held until it was eclipsed by Hanzawa Naoki in 2013 (42.2%)		
